frame,p1_health,p2_health,p1_tension,p2_tension,p1_burst,p2_burst,p1_risc,p2_risc,p1_round_count,p2_round_count,p1_round_win,p1_set_win
0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,True,True
2,0.9988470673561096,1,0.0009099841117858887,0.007483363151550293,1.0,1.0,0,0,0,0,True,True
4,1,1,0,0.013047218322753906,1.0,1.0,0,0,0,0,True,True
8,1,0.9996985197067261,0.03956758975982666,0.03460937738418579,1.0,1.0,0,0.002459406852722168,0,0,True,True
10,0.9970920085906982,0.9996759295463562,0,0.0221787691116333,1.0,1.0,0,0.0024316906929016113,0,0,True,True
12,0.9992160201072693,0.9997559189796448,0,0.02053368091583252,1.0,1.0,0,0.0019466876983642578,0,0,True,True
16,0.9997453689575195,1,0.005720853805541992,0.007210850715637207,1.0,1.0,0.000255584716796875,0,0,0,True,True
18,1,1,0.015204191207885742,0.022434234619140625,1.0,1.0,0.0009334683418273926,0,0,0,True,True
20,0.9996398687362671,0.9995957612991333,0.013904750347137451,0.014546871185302734,1.0,1.0,0.005717873573303223,0,0,0,True,True
22,0.9978885650634766,0.9998383522033691,0.0398746132850647,0.026515603065490723,1.0,1.0,0.00041037797927856445,0.0005640387535095215,0,0,True,True
24,1,0.8967165946960449,0.039673805236816406,0.028490304946899414,1.0,1.0,0.023849844932556152,0,0,0,True,True
26,1,0.8958566784858704,0.05622333288192749,0.028732240200042725,1.0,1.0,0.03994566202163696,0,0,0,True,True
28,1,0.8943557143211365,0.052737295627593994,0.032861530780792236,1.0,1.0,0.02280348539352417,0,0,0,True,True
30,0.9967350959777832,0.8944061398506165,0.05274277925491333,0.03660881519317627,1.0,1.0,0,0,0,0,True,True
32,0.986034631729126,0.8943675756454468,0.04927170276641846,0.03143793344497681,1.0,1.0,0.002234041690826416,0,0,0,True,True
34,0.9915642738342285,0.8179795145988464,0.04759949445724487,0.04183518886566162,1.0,1.0,0.002234041690826416,0.27376383543014526,0,0,True,True
36,0.9891780018806458,0.800229012966156,0.047069668769836426,0.06135678291320801,1.0,1.0,0,0.06787663698196411,0,0,True,True
38,1,0.8430903553962708,0.0518832802772522,0.046033382415771484,1.0,1.0,0.29000353813171387,0.03280287981033325,0,0,True,True
40,1,0.8481760025024414,0.05119967460632324,0.05942732095718384,1.0,1.0,0,0,0,0,True,True
42,0.9670685529708862,0.8599221110343933,0.07109630107879639,0.05069500207901001,1.0,1.0,0.025433123111724854,0.13423621654510498,0,0,True,True
44,0.9960176348686218,0.8451719284057617,0.054128170013427734,0.03760892152786255,1.0,1.0,0,0.00806969404220581,0,0,True,True
46,0.9974936246871948,0.843006432056427,0.055487096309661865,0.052078843116760254,1.0,1.0,0.0019193291664123535,0.0019768476486206055,0,0,True,True
48,0.9919221997261047,0.8447421789169312,0.058090150356292725,0.04819345474243164,1.0,1.0,0.0015813708305358887,0,0,0,True,True
50,0.9930963516235352,0.8447047472000122,0.04921901226043701,0.03997337818145752,1.0,1.0,0.00013434886932373047,0,0,0,True,True
52,0.9922567009925842,0.8466601967811584,0.046118319034576416,0.046567559242248535,1.0,1.0,0,0,0,0,True,True
54,0.9927613735198975,0.8459628224372864,0.04560959339141846,0.04142576456069946,1.0,1.0,0,0,0,0,True,True
56,0.9932782649993896,0.8447191119194031,0.04809337854385376,0.04754739999771118,1.0,1.0,0.0005463957786560059,0,0,0,True,True
58,0.994798481464386,0.8433623313903809,0.05038917064666748,0.05604737997055054,1.0,1.0,0.0007925033569335938,0.0045375823974609375,0,0,True,True
60,0.9951964616775513,0.8420557379722595,0.048526108264923096,0.05426633358001709,1.0,1.0,0.0011485815048217773,0.004641473293304443,0,0,True,True
62,0.9967789649963379,0.8366011381149292,0.09349524974822998,0.0583648681640625,1.0,1.0,0.001416325569152832,0.044797658920288086,0,0,True,True
64,0.9984837770462036,0.8437672853469849,0.08167219161987305,0.06972259283065796,1.0,1.0,0,0.02982914447784424,0,0,True,True
66,0.9988958239555359,0.8414293527603149,0.07143104076385498,0.059318363666534424,1.0,1.0,0,0.0366244912147522,0,0,True,True
68,0.9983013868331909,0.8401302099227905,0.06690359115600586,0.052592694759368896,1.0,1.0,0.00012123584747314453,0.048857152462005615,0,0,True,True
70,0.9977120757102966,0.8394854068756104,0.06744122505187988,0.04902231693267822,1.0,1.0,0.0006726384162902832,0.04688078165054321,0,0,True,True
72,0.9974519610404968,0.8378614187240601,0.08092343807220459,0.058375537395477295,1.0,1.0,0,0.045345425605773926,0,0,True,True
74,0.9964537620544434,0.8396545648574829,0.07634979486465454,0.062268197536468506,1.0,1.0,0,0.04418760538101196,0,0,True,True
76,0.9959142208099365,0.8392685055732727,0.07142293453216553,0.06423145532608032,1.0,1.0,0.00020313262939453125,0.046062171459198,0,0,True,True
78,0.9966083765029907,0.8423783779144287,0.06350517272949219,0.05353611707687378,1.0,1.0,0,0,0,0,True,True
80,0.9979105591773987,0.8412984013557434,0.06912541389465332,0.07074207067489624,1.0,1.0,0,0.004147827625274658,0,0,True,True
82,0.9975361824035645,0.8401880860328674,0.0616457462310791,0.06534552574157715,1.0,1.0,0.0005905032157897949,0.03518366813659668,0,0,True,True
86,0.9984464049339294,0.7484508156776428,0.09988254308700562,0.09035921096801758,1.0,1.0,0.000443875789642334,0.2940702438354492,0,0,True,True
88,0.9975306987762451,0.7480684518814087,0.09324663877487183,0.085743248462677,1.0,1.0,0.007156968116760254,0.2952585816383362,0,0,True,True
90,1,0.7509971261024475,0.09671956300735474,0.08671820163726807,1.0,1.0,0,0.047485530376434326,0,0,True,True
92,0.9998706579208374,0.749233603477478,0.08861714601516724,0.08111733198165894,1.0,1.0,0,0,0,0,True,True
94,0.9961961507797241,0.749187171459198,0.1009070873260498,0.09002375602722168,1.0,1.0,0,0.007059693336486816,0,0,True,True
96,0.9985934495925903,0.7466990351676941,0.10086804628372192,0.09282392263412476,1.0,1.0,0,0.0005803108215332031,0,0,True,True
98,0.9988481402397156,0.7440475225448608,0.09395843744277954,0.0861615538597107,1.0,1.0,0,0,0,0,True,True
100,0.997575581073761,0.7440418004989624,0.08112072944641113,0.08842378854751587,1.0,1.0,0,0,0,0,True,True
102,0.9953716397285461,0.7465611696243286,0.09502172470092773,0.09095156192779541,1.0,1.0,0,0,0,0,True,True
104,0.9956197738647461,0.7447951436042786,0.12867212295532227,0.09109318256378174,1.0,1.0,0,0,0,0,True,True
106,0.9979156851768494,0.7437508702278137,0.13097655773162842,0.09861069917678833,1.0,1.0,0,0.013167262077331543,0,0,True,True
108,0.9984164237976074,0.7431443333625793,0.1297987699508667,0.10323023796081543,1.0,1.0,0,0.022893667221069336,0,0,True,True
110,0.9978147745132446,0.7429786920547485,0.12689846754074097,0.10666292905807495,1.0,1.0,0,0.025015413761138916,0,0,True,True
112,0.9979596138000488,0.7428638935089111,0.12849605083465576,0.11808377504348755,1.0,1.0,0,0.027987539768218994,0,0,True,True
114,0.9958341121673584,0.7452980875968933,0.13234907388687134,0.10891932249069214,1.0,1.0,0,0.0023612380027770996,0,0,True,True
116,0.9959583878517151,0.7387069463729858,0.1653154492378235,0.08709365129470825,1.0,1.0,0,0.0024007558822631836,0,0,True,True
118,0.9951102137565613,0.7364095449447632,0.15358299016952515,0.08751773834228516,1.0,1.0,0,0.04187566041946411,0,0,True,True
120,0.9951209425926208,0.735698401927948,0.15972685813903809,0.10462754964828491,1.0,1.0,0,0.041953861713409424,0,0,True,True
122,0.9982014298439026,0.7352849245071411,0.1519981026649475,0.11382997035980225,1.0,1.0,0,0.04121387004852295,0,0,True,True
