frame,p1_health,p2_health,p1_tension,p2_tension,p1_burst,p2_burst,p1_risc,p2_risc,p1_round_count,p2_round_count,p1_round_win,p1_set_win
104,0.9993504285812378,1,0.03209728002548218,0,1.0,1.0,0,0.009735286235809326,0,0,True,False
106,0.9985378384590149,1,0,0,1.0,1.0,0,0.010295748710632324,0,0,True,False
108,0.9986581206321716,1,0,0,1.0,1.0,0,0.010465085506439209,0,0,True,False
110,1,1,0,0,1.0,1.0,0,0.010671377182006836,0,0,True,False
112,1,0.9998284578323364,0,0.005101680755615234,1.0,1.0,0,0.013205945491790771,0,0,True,False
114,1,1,0,0.0031415224075317383,1.0,1.0,0,0.004441022872924805,0,0,True,False
116,0.9990919232368469,1,0,0,1.0,1.0,0,0.010401725769042969,0,0,True,False
118,1,1,0,0,1.0,1.0,0,0.012791693210601807,0,0,True,False
120,1,0.9990500211715698,0,0,1.0,1.0,0,0.011448502540588379,0,0,True,False
122,0.9996076226234436,0.9986922144889832,0.007822215557098389,0,1.0,1.0,0,0.012484967708587646,0,0,True,False
126,1,1,0,0,1.0,1.0,0,0.012484967708587646,0,0,True,False
132,1,1,0,0,1.0,1.0,0,0.012484967708587646,0,0,True,False
136,1,0.9916910529136658,0,0,1.0,1.0,0,0.012484967708587646,0,0,True,False
138,1,1,0,0,1.0,1.0,0,0.012484967708587646,0,0,True,False
140,1,1,0,0,1.0,1.0,0,0.0052950382232666016,0,0,True,False
142,1,1,0,0.00017595291137695312,1.0,1.0,0,0,0,0,True,False
144,1,1,0,0,1.0,1.0,0,0.002211928367614746,0,0,True,False
146,1,1,0,0,1.0,1.0,0,0,0,0,True,False
148,1,1,0.005940139293670654,0,1.0,1.0,0,0.0005007386207580566,0,0,True,False
152,1,0.8902329206466675,0.002380847930908203,0,1.0,1.0,0,0.0008894801139831543,0,0,True,False
154,1,0.8937068581581116,0,0.0027355551719665527,1.0,1.0,0,0.0049010515213012695,0,0,True,False
156,1,0.9502414464950562,0.0004309415817260742,0,1.0,1.0,0,0.008200109004974365,0,0,True,False
160,1,1,0,0,1.0,1.0,0,0,0,0,True,False
162,1,1,0,0.0020842552185058594,1.0,1.0,0,0,0,0,True,False
164,1,1,0,0.007970571517944336,1.0,1.0,0,0,0,0,True,False
166,1,1,0,0.004105567932128906,1.0,1.0,0.013730227947235107,0,0,0,True,False
168,0.9999743103981018,0.9461666345596313,0.051419198513031006,0.028477907180786133,1.0,1.0,0,0,0,0,True,False
170,1,0.9446375966072083,0.05360126495361328,0.02574867010116577,1.0,1.0,0,0.00392758846282959,0,0,True,False
172,1,0.9437044858932495,0.049999356269836426,0.017693161964416504,1.0,1.0,0,0.010165512561798096,0,0,True,False
174,0.9982379078865051,0.9433271288871765,0.045582592487335205,0.018570542335510254,1.0,1.0,0,0.008343517780303955,0,0,True,False
176,0.9987055063247681,0.9448458552360535,0.05770409107208252,0.01995396614074707,1.0,1.0,0,0.0015331506729125977,0,0,True,False
178,0.9997385144233704,0.9438952803611755,0.06044638156890869,0.02119547128677368,1.0,1.0,0,0.009469568729400635,0,0,True,False
180,0.9988502264022827,0.9019647836685181,0.10119795799255371,0.03448045253753662,1.0,1.0,0,0.010414481163024902,0,0,True,False
182,0.9979298710823059,0.9017326831817627,0.10486143827438354,0.03735470771789551,1.0,1.0,0,0.012925505638122559,0,0,True,False
184,0.9981169700622559,0.9017162322998047,0.10467016696929932,0.03699582815170288,1.0,1.0,0,0.014604151248931885,0,0,True,False
186,0.9975528717041016,0.9014981985092163,0.10467344522476196,0.0362473726272583,1.0,1.0,0,0.014337241649627686,0,0,True,False
188,0.9982787370681763,0.9018825888633728,0.11666083335876465,0.028683841228485107,1.0,1.0,0,0.016400635242462158,0,0,True,False
190,0.9936865568161011,0.9016034007072449,0.11733955144882202,0.033122360706329346,1.0,1.0,0.28590190410614014,0.055973947048187256,0,0,True,False
192,0.986991822719574,0.896088719367981,0.11879867315292358,0.03295886516571045,1.0,1.0,0.28590190410614014,0.0411909818649292,0,0,True,False
194,0.986991822719574,0.5498612523078918,0.12260913848876953,0.03317534923553467,1.0,1.0,0.28590190410614014,0.0411909818649292,0,0,True,False
196,0.986991822719574,0.885338544845581,0.12128716707229614,0.0297735333442688,1.0,1.0,0.28590190410614014,0.0411909818649292,0,0,True,False
198,0.2539401948451996,0.9016504883766174,0.11992484331130981,0.03749614953994751,1.0,1.0,0.28590190410614014,0.0411909818649292,0,0,True,False
200,0.9522768259048462,0.9009987711906433,0.11852359771728516,0.049943625926971436,1.0,1.0,0.28590190410614014,0.0411909818649292,0,0,True,False
202,1,0.9003840088844299,0.11229664087295532,0.0452498197555542,1.0,0.1794852763414383,0.28590190410614014,0.009821295738220215,0,0,True,False
206,0.996528685092926,0.9078670740127563,0.11756730079650879,0.04401582479476929,1.0,0.3387328088283539,0,0,0,0,True,False
208,1,0.9076138138771057,0.12486505508422852,0.03561300039291382,1.0,0.3439428508281708,0.0026193857192993164,0.008157908916473389,0,0,True,False
210,1,0.9045757055282593,0.127851665019989,0.043037593364715576,1.0,0.34545668959617615,0.001145482063293457,0.0065195560455322266,0,0,True,False
212,1,0.9017562866210938,0.11733651161193848,0.042556703090667725,1.0,0.3447244465351105,0,0.001820385456085205,0,0,True,False
214,1,0.9031235575675964,0.1218917965888977,0.04556626081466675,1.0,0.33955949544906616,0,0,0,0,True,False
216,1,0.9037521481513977,0.12131088972091675,0.013812541961669922,1.0,0.3364241421222687,0,0.0024557113647460938,0,0,True,False
218,1,0.9038772583007812,0.12827277183532715,0.02350914478302002,1.0,0.33607548475265503,0,0.002708256244659424,0,0,True,False
220,0.999954104423523,0.9044893980026245,0.12989294528961182,0.05403369665145874,1.0,0.3396760821342468,0,0.0020900964736938477,0,0,True,False
222,1,0.9051482677459717,0.12262988090515137,0.04376703500747681,1.0,0.3419031500816345,0,0.002360522747039795,0,0,True,False
224,0.999788224697113,0.9052175879478455,0.12251240015029907,0.04889947175979614,1.0,0.3417566120624542,0,0.0022597312927246094,0,0,True,False
226,1,0.9049040079116821,0.125990092754364,0.04625481367111206,1.0,0.34171465039253235,0,0.004086911678314209,0,0,True,False
228,1,0.9051058292388916,0.14155089855194092,0.04467040300369263,1.0,0.3412148058414459,0,0,0,0,True,False
230,1,0.9053036570549011,0.175500750541687,0.05374491214752197,1.0,0.34145304560661316,0,0,0,0,True,False
232,1,0.9047968983650208,0.12807434797286987,0.04496264457702637,1.0,0.3432618975639343,0,0.0033005475997924805,0,0,True,False
234,1,0.9038147926330566,0.13025015592575073,0.0527418851852417,1.0,0.342912882566452,0,0,0,0,True,False
236,1,0.9024339318275452,0.12736475467681885,0.05113959312438965,1.0,0.3469141721725464,0,0,0,0,True,False
238,1,0.9018043279647827,0.13425970077514648,0.052207767963409424,1.0,0.3452829420566559,0,0,0,0,True,False
240,1,0.901061475276947,0.12488985061645508,0.05447113513946533,1.0,0.34661412239074707,0,0,0,0,True,False
242,1,0.9010676145553589,0.11892133951187134,0.048675477504730225,1.0,0.347476601600647,0,0,0,0,True,False
244,1,0.9024277329444885,0.12400305271148682,0.057096660137176514,1.0,0.350886732339859,0,0,0,0,True,False
246,1,0.8994444012641907,0.1267383098602295,0.06025797128677368,1.0,0.3530745208263397,0,0.0015025138854980469,0,0,True,False
248,1,0.899887204170227,0.13494884967803955,0.05893349647521973,1.0,0.3527200520038605,0,0.0015108585357666016,0,0,True,False
250,1,0.901817262172699,0.14447498321533203,0.06034606695175171,1.0,0.3526955544948578,0,0.0023067593574523926,0,0,True,False
252,1,0.9026653170585632,0.15293914079666138,0.06854212284088135,1.0,0.3529357612133026,0.28879207372665405,0.0032715201377868652,0,0,True,False
262,1,0.9039562940597534,0.20040655136108398,0.04514974355697632,1.0,0.34416359663009644,0.28879207372665405,0.17908722162246704,0,0,True,False
270,1,0.9053788781166077,0.20414751768112183,0.04971355199813843,1.0,0.34367504715919495,0.029766499996185303,0.1958240270614624,0,0,True,False
272,1,0.9006204009056091,0.20763295888900757,0.04711759090423584,1.0,0.34226226806640625,0.00024336576461791992,0.1729409098625183,0,0,True,False
274,0.9992063641548157,0.9027552008628845,0.19278240203857422,0.05744200944900513,1.0,0.3449125587940216,0.005760908126831055,0.2089100480079651,0,0,True,False
276,1,0.9038062691688538,0.20543771982192993,0.05953150987625122,1.0,0.3471384644508362,0,0.21559494733810425,0,0,True,False
278,0.9998944401741028,0.9037504196166992,0.19562911987304688,0.04567331075668335,1.0,0.3446393311023712,0.0010471940040588379,0.21443939208984375,0,0,True,False
280,1,0.8992520570755005,0.21197015047073364,0.04817390441894531,1.0,0.34370729327201843,0.008704841136932373,0.20319324731826782,0,0,True,False
282,0.9992753267288208,0.9005328416824341,0.2223791480064392,0.04671335220336914,1.0,0.3454916775226593,0.011784374713897705,0.21449518203735352,0,0,True,False
284,0.9998553991317749,0.9012072086334229,0.2380666732788086,0.03523355722427368,1.0,0.3439331352710724,0.004934370517730713,0.21682775020599365,0,0,True,False
286,1,0.8988866806030273,0.21403634548187256,0.020538032054901123,1.0,0.3429991900920868,0,0.21781563758850098,0,0,True,False
288,1,0.8979209065437317,0.2554857134819031,0.03049612045288086,1.0,0.3431651294231415,0,0.21067631244659424,0,0,True,False
290,1,0.8988965749740601,0.22603493928909302,0.03207820653915405,1.0,0.3434317409992218,0,0.21040427684783936,0,0,True,False
292,0.9997950792312622,0.8992668986320496,0.21234214305877686,0.06335872411727905,1.0,0.3472729027271271,0,0.2052202820777893,0,0,True,False
294,1,0.9003199934959412,0.21517080068588257,0.06700742244720459,1.0,0.3478710949420929,0,0.19685447216033936,0,0,True,False
296,0.9999927878379822,0.8987863659858704,0.21183115243911743,0.06448817253112793,1.0,0.34829315543174744,0,0.19021785259246826,0,0,True,False
298,0.9999536275863647,0.8983375430107117,0.22139132022857666,0.07269817590713501,1.0,0.34782910346984863,0,0.18383890390396118,0,0,True,False
300,0.999692976474762,0.8960599899291992,0.22195643186569214,0.06438308954238892,1.0,0.3481610119342804,0.004177451133728027,0.177423357963562,0,0,True,False
302,1,0.8968947529792786,0.22210007905960083,0.05881071090698242,1.0,0.3485690951347351,0.002246081829071045,0.17517554759979248,0,0,True,False
304,1,0.8960440754890442,0.2173188328742981,0.0458909273147583,1.0,0.3479352295398712,0.002735733985900879,0.17143356800079346,0,0,True,False
306,0.9999638795852661,0.895794689655304,0.22742986679077148,0.05004626512527466,1.0,0.3481404185295105,0.005126953125,0.1705799698829651,0,0,True,False
308,0.9997064471244812,0.8960347771644592,0.21207547187805176,0.04371786117553711,1.0,0.348699688911438,0.007457435131072998,0.16920572519302368,0,0,True,False
310,0.9996498823165894,0.8960059285163879,0.23289871215820312,0.046590209007263184,1.0,0.34851935505867004,0.005795836448669434,0.16965782642364502,0,0,True,False
312,0.9997111558914185,0.8962987065315247,0.2044210433959961,0.048182547092437744,1.0,0.34881591796875,0.001757979393005371,0.1725943684577942,0,0,True,False
314,1,0.8957445025444031,0.22842681407928467,0.07667869329452515,1.0,0.3500048518180847,0.005920767784118652,0.17722254991531372,0,0,True,False
316,1,0.8926702737808228,0.21800005435943604,0.08286011219024658,1.0,0.35130220651626587,0.002873361110687256,0.18232285976409912,0,0,True,False
318,1,0.8952513337135315,0.21505814790725708,0.044229865074157715,1.0,0.35141801834106445,0.004205584526062012,0.18760275840759277,0,0,True,False
320,1,0.8936511874198914,0.21756494045257568,0.050829946994781494,1.0,0.35026487708091736,0.00406259298324585,0.17344117164611816,0,0,True,False
324,1,0.8974161148071289,0.2185114622116089,0.05420428514480591,1.0,0.3587295711040497,0.004828453063964844,0.16895276308059692,0,0,True,False
326,0.6788572072982788,0.8941322565078735,0.21385234594345093,0.062185466289520264,1.0,0.35934871435165405,0.007214486598968506,0.16787129640579224,0,0,True,False
328,0.9684305191040039,0.8977411985397339,0.2194807529449463,0.05828911066055298,1.0,0.35880497097969055,0.0046721696853637695,0.1671200394630432,0,0,True,False
330,0.9989712834358215,0.89821857213974,0.21701163053512573,0.060514986515045166,1.0,0.3571558892726898,0.007792234420776367,0.16371387243270874,0,0,True,False
332,1,0.8975167870521545,0.20776879787445068,0.06180232763290405,1.0,0.35603612661361694,0.007934272289276123,0.16349196434020996,0,0,True,False
334,1,0.897051215171814,0.21849757432937622,0.05772602558135986,1.0,0.3566778302192688,0.007454037666320801,0.15754282474517822,0,0,True,False
336,1,0.8978505730628967,0.2080625295639038,0.05984354019165039,1.0,0.35806262493133545,0.0026181936264038086,0.17389130592346191,0,0,True,False
338,1,0.8943727612495422,0.20526719093322754,0.0613405704498291,1.0,0.35727986693382263,0.0041237473487854,0.1515873670578003,0,0,True,False
340,1,0.8987259864807129,0.20995205640792847,0.07557076215744019,1.0,0.34924617409706116,0.003001093864440918,0.1394728422164917,0,0,True,False
342,0.9997707009315491,0.8978667259216309,0.2251848578453064,0.06985193490982056,1.0,0.34727174043655396,0.003555595874786377,0.1383865475654602,0,0,True,False
344,1,0.8983873128890991,0.222334086894989,0.06430357694625854,1.0,0.34827566146850586,0.0046936869621276855,0.12210583686828613,0,0,True,False
346,1,0.8977426886558533,0.21422970294952393,0.07156944274902344,1.0,0.34848982095718384,0.003820180892944336,0.1256060004234314,0,0,True,False
348,0.99976646900177,0.8983144164085388,0.2134116291999817,0.08038544654846191,1.0,0.3494607210159302,0.0049283504486083984,0.12507623434066772,0,0,True,False
350,1,0.8964516520500183,0.21965479850769043,0.0784807801246643,1.0,0.34546172618865967,0.004845917224884033,0.11501866579055786,0,0,True,False
352,1,0.8954015374183655,0.23528599739074707,0.08504432439804077,1.0,0.34981247782707214,0,0.11328119039535522,0,0,True,False
354,1,0.8937298059463501,0.24462074041366577,0.08465850353240967,1.0,0.34951940178871155,0,0.10979849100112915,0,0,True,False
356,1,0.8926668167114258,0.24763035774230957,0.07672363519668579,1.0,0.34949102997779846,0.00027865171432495117,0.09988236427307129,0,0,True,False
358,1,0.8913887739181519,0.249952495098114,0.07363361120223999,1.0,0.350972980260849,0.0007709860801696777,0.08324116468429565,0,0,True,False
360,1,0.892280101776123,0.24338197708129883,0.07505989074707031,1.0,0.351732075214386,0.000791013240814209,0.0800783634185791,0,0,True,False
362,1,0.8918247818946838,0.2419440746307373,0.076823890209198,1.0,0.35252845287323,0.0008032321929931641,0.07457739114761353,0,0,True,False
364,0.99942946434021,0.8894588947296143,0.24295157194137573,0.07094317674636841,1.0,0.35031384229660034,0.0005081892013549805,0.122833251953125,0,0,True,False
366,0.9992186427116394,0.8895962238311768,0.25293123722076416,0.07510942220687866,1.0,0.3502500653266907,0.00020241737365722656,0.1273021101951599,0,0,True,False
368,0.99935382604599,0.892852783203125,0.250221848487854,0.08193904161453247,1.0,0.3500479757785797,0,0.1252753734588623,0,0,True,False
370,1,0.8935900926589966,0.2556392550468445,0.08352136611938477,1.0,0.35069119930267334,0,0.12827283143997192,0,0,True,False
372,1,0.895417332649231,0.24896341562271118,0.08131754398345947,1.0,0.35047200322151184,0,0.12322914600372314,0,0,True,False
374,0.9997001886367798,0.8957597613334656,0.2566677927970886,0.07668191194534302,1.0,0.34921392798423767,0,0.12336421012878418,0,0,True,False
376,0.9999974370002747,0.8958829045295715,0.253093957901001,0.08371692895889282,1.0,0.34911012649536133,0.0013579130172729492,0.11724096536636353,0,0,True,False
378,1,0.8952843546867371,0.24101006984710693,0.06372350454330444,1.0,0.3489779829978943,0.00027507543563842773,0.11694025993347168,0,0,True,False
380,1,0.8960824012756348,0.24379605054855347,0.06218409538269043,1.0,0.3481719195842743,0,0.11073023080825806,0,0,True,False
382,1,0.8917639851570129,0.24385100603103638,0.08081597089767456,1.0,0.35502251982688904,0,0.12767934799194336,0,0,True,False
384,1,0.8939036130905151,0.23875391483306885,0.07751309871673584,1.0,0.3640904128551483,0,0.1284552812576294,0,0,True,False
386,0.9988654851913452,0.8945587277412415,0.2347959280014038,0.07804059982299805,1.0,0.36350005865097046,0.0003777742385864258,0.12890022993087769,0,0,True,False
388,1,0.8938756585121155,0.24278682470321655,0.08273488283157349,1.0,0.3619271516799927,0,0.13353484869003296,0,0,True,False
390,1,0.8931943774223328,0.24011021852493286,0.0799325704574585,1.0,0.3629714548587799,0.001586616039276123,0.13060426712036133,0,0,True,False
392,0.9991212487220764,0.8927527070045471,0.23628127574920654,0.09250122308731079,1.0,0.3642027676105499,0.002959609031677246,0.13326799869537354,0,0,True,False
394,0.9952868819236755,0.8928589224815369,0.23523658514022827,0.0815020203590393,1.0,0.3647838234901428,0.007413923740386963,0.13457173109054565,0,0,True,False
396,0.9995481967926025,0.8939762711524963,0.2412109375,0.08679598569869995,1.0,0.36657363176345825,0.007872462272644043,0.13293254375457764,0,0,True,False
398,0.9260762929916382,0.8934309482574463,0.24896782636642456,0.04513436555862427,1.0,0.3658432960510254,0.00832986831665039,0.11757755279541016,0,0,True,False
400,0.9948641061782837,0.8963866233825684,0.23990988731384277,0.07408523559570312,1.0,0.3655751347541809,0.003735959529876709,0.11687088012695312,0,0,True,False
402,1,0.8958559036254883,0.22554349899291992,0.0599745512008667,1.0,0.36660394072532654,0.0021190643310546875,0.1271754503250122,0,0,True,False
404,0.985866129398346,0.8928837776184082,0.24377214908599854,0.08516418933868408,1.0,0.36421284079551697,0.024718165397644043,0.1350194811820984,0,0,True,False
406,0.9893519878387451,0.8928523063659668,0.23953372240066528,0.08802884817123413,1.0,0.36647292971611023,0.025027692317962646,0.13929873704910278,0,0,True,False
408,0.9928092360496521,0.8930180668830872,0.2447894811630249,0.08664119243621826,1.0,0.3648937940597534,0.02398049831390381,0.1193729043006897,0,0,True,False
410,0.9908013343811035,0.8935258388519287,0.2435271143913269,0.0943945050239563,1.0,0.36420199275016785,0.024502098560333252,0.10434770584106445,0,0,True,False
412,0.9936632513999939,0.8982419371604919,0.2465851902961731,0.101451575756073,1.0,0.36369866132736206,0.03970634937286377,0.10196685791015625,0,0,True,False
414,0.9935535788536072,0.897509753704071,0.25732678174972534,0.09033524990081787,1.0,0.36394545435905457,0.036262571811676025,0.08998376131057739,0,0,True,False
416,0.9930996894836426,0.8983622193336487,0.2564845681190491,0.09437549114227295,1.0,0.36519306898117065,0.03583788871765137,0.08115702867507935,0,0,True,False
418,0.9925277233123779,0.8981947302818298,0.26941150426864624,0.09737753868103027,1.0,0.365867018699646,0.03452491760253906,0.07583892345428467,0,0,True,False
420,0.9907944798469543,0.8975464701652527,0.2615838646888733,0.10150343179702759,1.0,0.36695489287376404,0.03231877088546753,0.07420855760574341,0,0,True,False
422,0.9924514293670654,0.8950833082199097,0.27131128311157227,0.11212915182113647,1.0,0.3713020980358124,0.034132301807403564,0.06963282823562622,0,0,True,False
424,0.9946077466011047,0.8948665857315063,0.25851529836654663,0.09951448440551758,1.0,0.3727576434612274,0.035536348819732666,0.04747629165649414,0,0,True,False
426,0.9947952032089233,0.8952702283859253,0.2625703811645508,0.09155362844467163,1.0,0.3726818561553955,0.03613179922103882,0.04124951362609863,0,0,True,False
428,0.9968975186347961,0.8955414891242981,0.26162189245224,0.08988428115844727,1.0,0.37465861439704895,0.03947228193283081,0.023190617561340332,0,0,True,False
430,0.993177056312561,0.8963105082511902,0.2679257392883301,0.09346729516983032,1.0,0.3755039572715759,0.03740823268890381,0.021915197372436523,0,0,True,False
432,0.7736754417419434,0.895587146282196,0.2672308087348938,0.09377110004425049,1.0,0.37553659081459045,0.03526890277862549,0.03169506788253784,0,0,True,False
434,0.9986771941184998,0.8967097997665405,0.26581335067749023,0.09964066743850708,1.0,0.37940654158592224,0.04099571704864502,0.01138758659362793,0,0,True,False
436,0.7670521140098572,0.8970387578010559,0.27773696184158325,0.09630823135375977,1.0,0.38120216131210327,0.04117405414581299,0,0,0,True,False
438,0.976544201374054,0.9008673429489136,0.27334868907928467,0.09107297658920288,1.0,0.3807602524757385,0.040360331535339355,0.006464540958404541,0,0,True,False
440,0.9955564737319946,0.9013925790786743,0.2731698155403137,0.08270794153213501,1.0,0.38102999329566956,0.042752861976623535,0.011568844318389893,0,0,True,False
442,0.9985611438751221,0.8995308876037598,0.27229779958724976,0.08222454786300659,1.0,0.3795239329338074,0.0465509295463562,0.01996171474456787,0,0,True,False
444,0.9986502528190613,0.8962430357933044,0.27575671672821045,0.08714127540588379,1.0,0.38138794898986816,0.04179811477661133,0.019244730472564697,0,0,True,False
446,1,0.8974273204803467,0.27638447284698486,0.08750951290130615,1.0,0.3823005259037018,0.03524225950241089,0.015914618968963623,0,0,True,False
448,0.9982031583786011,0.8983929753303528,0.27825528383255005,0.08245104551315308,1.0,0.38231879472732544,0.021635830402374268,0.014986515045166016,0,0,True,False
450,0.9978306293487549,0.8984818458557129,0.2756504416465759,0.0832170844078064,1.0,0.3887939453125,0.014058053493499756,0.0023673176765441895,0,0,True,False
452,0.9968223571777344,0.9000861048698425,0.27083224058151245,0.08983474969863892,1.0,0.38738855719566345,0.008430182933807373,0.0030185580253601074,0,0,True,False
454,0.9961355328559875,0.8994764685630798,0.29477179050445557,0.08159035444259644,1.0,0.3890182077884674,0.025774121284484863,0.002343416213989258,0,0,True,False
456,0.9957943558692932,0.8986818194389343,0.27228838205337524,0,1.0,0.3882136642932892,0.0021170377731323242,0.0036559104919433594,0,0,True,False
458,0.9956744909286499,0.896807074546814,0.27815353870391846,0.08642292022705078,1.0,0.38840800523757935,0.008291780948638916,0.00481027364730835,0,0,True,False
460,0.9974151849746704,0.8971415758132935,0.2776990532875061,0.09156382083892822,1.0,0.39004313945770264,0.0008704662322998047,0.004821836948394775,0,0,True,False
462,0.9957592487335205,0.8219025731086731,0.329675555229187,0.10950034856796265,1.0,0.40209677815437317,0.0044994354248046875,0.0015933513641357422,0,0,True,False
464,0.9959596991539001,0.8230132460594177,0.32590627670288086,0.10745877027511597,1.0,0.40341708064079285,0.0018550753593444824,0.004361748695373535,0,0,True,False
466,0.9966087341308594,0.8229079842567444,0.3256797194480896,0.09648418426513672,1.0,0.4015277624130249,0.0033367276191711426,0.0037518739700317383,0,0,True,False
468,0.9952847361564636,0.8216884732246399,0.3266580104827881,0.10451149940490723,1.0,0.3986349105834961,0.0008448362350463867,0.00465768575668335,0,0,True,False
470,0.9958081245422363,0.8212719559669495,0.33545219898223877,0.09367811679840088,1.0,0.4013272225856781,0.0013847947120666504,0.003771066665649414,0,0,True,False
472,0.9962462782859802,0.8215854167938232,0.35641443729400635,0.10302579402923584,1.0,0.4032643139362335,0,0,0,0,True,False
474,1,0.9495161175727844,0.3758544921875,0.12352120876312256,1.0,0.4032643139362335,0.23454642295837402,0,0,0,True,False
478,1,0.9495161175727844,0.36899447441101074,0.11841064691543579,1.0,0.4032643139362335,0,0,0,0,True,False
482,1,0.7514143586158752,0.36372697353363037,0.1342688798904419,1.0,0.40721938014030457,0.0012859106063842773,0.2676198482513428,0,0,True,False
484,0.7286620140075684,0.7523524761199951,0.35888034105300903,0.11891919374465942,1.0,0.41634052991867065,0.01569819450378418,0.010523200035095215,0,0,True,False
488,0.898687481880188,0.7489606738090515,0.3646647334098816,0.11736279726028442,1.0,0.41843506693840027,0,0.015684425830841064,0,0,True,False
490,0.492878258228302,0.75275719165802,0.3660607933998108,0.1269572377204895,1.0,0.41807475686073303,0,0.009556412696838379,0,0,True,False
492,0.9948898553848267,0.7216039299964905,0.40124255418777466,0.1482560634613037,1.0,0.43210557103157043,0.01038426160812378,0.016712486743927002,0,0,True,False
494,0.9941864013671875,0.7209237217903137,0.40004414319992065,0.14463156461715698,1.0,0.43127885460853577,0.01231396198272705,0.010339140892028809,0,0,True,False
496,0.9960012435913086,0.7215705513954163,0.3982231616973877,0.13516706228256226,1.0,0.43152645230293274,0.008889734745025635,0,0,0,True,False
