frame,p1_health,p2_health,p1_tension,p2_tension,p1_burst,p2_burst,p1_risc,p2_risc,p1_round_count,p2_round_count,p1_round_win,p1_set_win
0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,True,False
2,1,1,0.0013747811317443848,0.007431447505950928,1.0,1.0,0,0,0,0,True,False
4,1,1,0.0013747811317443848,0.005917251110076904,1.0,1.0,0,0,0,0,True,False
6,1,1,0.014087498188018799,0.0062986016273498535,1.0,1.0,0,0.0004112124443054199,0,0,True,False
8,1,1,0.014087498188018799,0,1.0,1.0,0,0.0011647343635559082,0,0,True,False
10,1,1,0.014087498188018799,0.0016314983367919922,1.0,1.0,0,0.004171788692474365,0,0,True,False
12,0.9997504353523254,1,0.014087498188018799,0,1.0,1.0,0,0.0050910115242004395,0,0,True,False
14,0.9998340010643005,0.9981938004493713,0,0,1.0,1.0,0,0.007094383239746094,0,0,True,False
16,0.999606192111969,0.9955129027366638,0.021181583404541016,0,1.0,1.0,0,0.008819997310638428,0,0,True,False
18,0.9994679689407349,0.9989736080169678,0.0015970468521118164,0,1.0,1.0,0,0.00837928056716919,0,0,True,False
20,1,0.9951637983322144,0,0,1.0,1.0,0,0,0,0,True,False
22,1,0.9955174326896667,0,0,1.0,1.0,0.004985928535461426,0.0023064613342285156,0,0,True,False
24,1,0.9942174553871155,0,0,1.0,1.0,0.008441329002380371,0.013553082942962646,0,0,True,False
26,0.9997656941413879,0.9938876032829285,0,0.00465625524520874,1.0,1.0,0.003324151039123535,0.00832676887512207,0,0,True,False
28,0.9990767240524292,0.9934630393981934,0,0,1.0,1.0,0.001803278923034668,0.013324379920959473,0,0,True,False
30,0.9992533922195435,0.9937109351158142,0,0,1.0,1.0,0.012841343879699707,0.02193349599838257,0,0,True,False
32,0.9996500015258789,0.9945454001426697,0,0,1.0,1.0,0,0.01363515853881836,0,0,True,False
34,0.999735414981842,0.6115344762802124,0,0,1.0,1.0,0,0.010896146297454834,0,0,True,False
36,0.9988099932670593,0.9891489148139954,0,0,1.0,1.0,0.002119302749633789,0.013415813446044922,0,0,True,False
40,0.9985778331756592,1,0,0,1.0,1.0,0,0.2228403091430664,0,0,True,False
42,0.9983662366867065,1,0,0,1.0,1.0,0,0.03148484230041504,0,0,True,False
44,1,1,0,0.01831066608428955,1.0,1.0,0,0.01849973201751709,0,0,True,False
48,0.9993746876716614,1,0,0,1.0,1.0,0,0.026996135711669922,0,0,True,False
52,1,0.9989047050476074,0,0,1.0,1.0,0,0.041131556034088135,0,0,True,False
60,1,0.9991686940193176,0.002376258373260498,0,1.0,1.0,0,0.03223919868469238,0,0,True,False
62,0.9977688789367676,0.9975811243057251,0.1145215630531311,0,1.0,1.0,0,0.036084532737731934,0,0,True,False
68,0.9987982511520386,0.9892063736915588,0,0,1.0,1.0,0,0.03439509868621826,0,0,True,False
70,1,0.9905633926391602,0,0.00482940673828125,1.0,1.0,0,0.025921642780303955,0,0,True,False
72,1,0.9879273176193237,0,0,1.0,1.0,0,0.026804327964782715,0,0,True,False
80,1,1,0,0,1.0,1.0,0,0.033589839935302734,0,0,True,False
84,1,1,0,0.016669929027557373,1.0,1.0,0,0.10988277196884155,0,0,True,False
86,1,0.999410092830658,0,0.019820690155029297,1.0,1.0,0,0.4654656648635864,0,0,True,False
88,1,1,0,0.01286536455154419,1.0,1.0,0,0.6247324645519257,0,0,True,False
90,1,0.9642084836959839,0,0.015446901321411133,1.0,1.0,0,0.6247324645519257,0,0,True,False
92,1,0.9980086088180542,0.002730250358581543,0,1.0,1.0,0,0.01727825403213501,0,0,True,False
94,1,0.9931194186210632,0,0,1.0,1.0,0,0.0017921924591064453,0,0,True,False
96,1,0.997178852558136,0.06750059127807617,0,1.0,1.0,0,0.006850481033325195,0,0,True,False
98,1,0.9982843995094299,0,0,1.0,1.0,0,0.021321594715118408,0,0,True,False
100,1,0.9924060702323914,0.019760429859161377,0.004276394844055176,1.0,1.0,0,0.15158969163894653,0,0,True,False
102,1,0.9917467832565308,0.01905137300491333,0.00010061264038085938,1.0,1.0,0,0.15377825498580933,0,0,True,False
104,1,0.9622060060501099,0.016278088092803955,0.003949344158172607,1.0,1.0,0,0.13968753814697266,0,0,True,False
106,1,0.9932949542999268,0.031475961208343506,0,1.0,1.0,0,0.14538425207138062,0,0,True,False
108,1,0.9946205019950867,0.023182272911071777,0,1.0,1.0,0,0.1187744140625,0,0,True,False
110,1,0.9960692524909973,0,0.013695776462554932,1.0,1.0,0,0.1288108229637146,0,0,True,False
112,1,0.9930756092071533,0.041691601276397705,0,1.0,1.0,0,0.117983877658844,0,0,True,False
114,1,0.9936680197715759,0.051482200622558594,0.01982492208480835,1.0,1.0,0,0.117983877658844,0,0,True,False
116,1,0.99089515209198,0.03837341070175171,0.027051448822021484,1.0,1.0,0,0.17928838729858398,0,0,True,False
118,1,0.9938055872917175,0.04540759325027466,0.013982117176055908,1.0,1.0,0,0.11355078220367432,0,0,True,False
120,1,0.9952262043952942,0.03812110424041748,0.011133432388305664,1.0,1.0,0,0.3174058198928833,0,0,True,False
122,1,0.9944494366645813,0.03668946027755737,0.011493086814880371,1.0,1.0,0,0.3331906795501709,0,0,True,False
124,1,0.9942540526390076,0.03290778398513794,0.012260258197784424,1.0,1.0,0,0.1884993314743042,0,0,True,False
126,1,0.9937648773193359,0.042604684829711914,0.004369497299194336,1.0,1.0,0,0.19569015502929688,0,0,True,False
128,1,0.8698053956031799,0.1257864236831665,0.0566408634185791,1.0,1.0,0,0.08664023876190186,0,0,True,False
130,1,0.8783083558082581,0.12926620244979858,0.051664888858795166,1.0,1.0,0,0.05034208297729492,0,0,True,False
132,1,0.8734394311904907,0.13289135694503784,0.06579804420471191,1.0,1.0,0,0.08909100294113159,0,0,True,False
134,1,0.874325156211853,0.13497436046600342,0.05462932586669922,1.0,1.0,0.253500759601593,0.04636448621749878,0,0,True,False
136,0.9943085312843323,0.8700522780418396,0.12825274467468262,0.062496066093444824,1.0,1.0,0,0.09810668230056763,0,0,True,False
138,0.9974662065505981,0.8677489161491394,0.13345080614089966,0.0425150990486145,1.0,1.0,0,0.09662383794784546,0,0,True,False
140,1,0.869917094707489,0.12783938646316528,0.03725367784500122,1.0,1.0,0,0.07932299375534058,0,0,True,False
142,0.99959397315979,0.8712267875671387,0.18707704544067383,0.08366364240646362,1.0,1.0,0,0.10042750835418701,0,0,True,False
144,1,0.7929945588111877,0.1844041347503662,0.10047757625579834,1.0,1.0,0,0.10042750835418701,0,0,True,False
146,1,0.8070218563079834,0.20490068197250366,0.08572322130203247,1.0,1.0,0.12235879898071289,0.10042750835418701,0,0,True,False
148,1,0.7872113585472107,0.14980846643447876,0.07782894372940063,1.0,1.0,0,0.10042750835418701,0,0,True,False
150,1,0.7890433669090271,0.1655089259147644,0.0851597785949707,1.0,1.0,0,0.13431453704833984,0,0,True,False
152,1,0.7899594902992249,0.1937713623046875,0.07637351751327515,1.0,1.0,0,0.13431453704833984,0,0,True,False
154,1,0.7905997633934021,0.17584651708602905,0.08311671018600464,1.0,1.0,0,0.02279794216156006,0,0,True,False
156,1,0.7913212180137634,0.1809098720550537,0.08423829078674316,1.0,1.0,0,0.31003957986831665,0,0,True,False
158,1,0.7935303449630737,0.18009918928146362,0.08193767070770264,1.0,1.0,0,0.028968393802642822,0,0,True,False
160,1,0.7930446267127991,0.19773489236831665,0.09502333402633667,1.0,1.0,0,0.010991454124450684,0,0,True,False
162,0.999292254447937,0.7484164834022522,0.245172381401062,0.10170680284500122,1.0,1.0,0,0.024320900440216064,0,0,True,False
164,0.9994040131568909,0.7422168254852295,0.22936862707138062,0.09875631332397461,1.0,1.0,0,0.03485137224197388,0,0,True,False
166,0.999022364616394,0.7479124069213867,0.2315307855606079,0.10402542352676392,1.0,1.0,0,0,0,0,True,False
168,0.9990338087081909,0.7472264766693115,0.3670915365219116,0.12421798706054688,1.0,1.0,0,0.06119239330291748,0,0,True,False
170,1,0.7501511573791504,0.24272257089614868,0.10079288482666016,1.0,1.0,0,0.19310522079467773,0,0,True,False
172,1,0.7512315511703491,0.21941494941711426,0.09653013944625854,1.0,1.0,0,0.3552303910255432,0,0,True,False
174,1,0.7719632983207703,0.2021007537841797,0.09245461225509644,1.0,1.0,0,0.27453190088272095,0,0,True,False
176,0.978469729423523,0.7719632983207703,0.20896661281585693,0.08293271064758301,1.0,1.0,0,0.27453190088272095,0,0,True,False
178,0.980401337146759,0.7719632983207703,0.21622580289840698,0.08205926418304443,1.0,1.0,0,0.27453190088272095,0,0,True,False
186,1,0.7394589781761169,0.22195136547088623,0.08873611688613892,1.0,0.3456558883190155,0,0.602203369140625,0,0,True,False
188,1,0.7497158050537109,0.2226393222808838,0.0854184627532959,1.0,0.3588348925113678,0,0.602203369140625,0,0,True,False
194,1,0.7431496977806091,0.23497986793518066,0.08855658769607544,1.0,0.33774787187576294,0,0.24375462532043457,0,0,True,False
196,1,0.7448400855064392,0.24036771059036255,0.09661930799484253,1.0,0.3442710041999817,0,0.02443873882293701,0,0,True,False
198,1,0.7456250190734863,0.23836928606033325,0.08175814151763916,1.0,0.3469496965408325,0,0.01939213275909424,0,0,True,False
200,1,0.741524875164032,0.23705095052719116,0.08601152896881104,1.0,0.34187960624694824,0,0.02219182252883911,0,0,True,False
202,1,0.7405754327774048,0.2384943962097168,0.08877259492874146,1.0,0.342666894197464,0,0.024501800537109375,0,0,True,False
204,1,0.748691976070404,0.22901958227157593,0.09250515699386597,1.0,0.3429417312145233,0,0.023651421070098877,0,0,True,False
206,1,0.7493402361869812,0.2258949875831604,0.09436315298080444,1.0,0.34321391582489014,0,0.025539636611938477,0,0,True,False
208,1,0.749053418636322,0.2279077172279358,0.10259538888931274,1.0,0.3433544635772705,0,0.034018874168395996,0,0,True,False
210,1,0.7476206421852112,0.23253631591796875,0.11311906576156616,1.0,0.34110286831855774,0,0.029743671417236328,0,0,True,False
212,1,0.7461835145950317,0.23215830326080322,0.12235885858535767,1.0,0.35420164465904236,0,0.4512072801589966,0,0,True,False
214,1,0.7470454573631287,0.22934609651565552,0.11507296562194824,1.0,0.35130491852760315,0,0.414506196975708,0,0,True,False
216,1,0.746133029460907,0.23151898384094238,0.11581629514694214,1.0,0.3574449121952057,0,0.4781785011291504,0,0,True,False
218,1,0.7474082708358765,0.23477476835250854,0.1209334135055542,1.0,0.3486858010292053,0,0.012996792793273926,0,0,True,False
220,1,0.7476750612258911,0.2507626414299011,0.14070934057235718,1.0,0.3501797020435333,0,0,0,0,True,False
